Time,Solar Power (MW),Diesel Generator Power (MW),Battery Power (MW),Wind Power (MW),Load Profile (MW),Output power (MW),Output power (Sources)
21.8982782243889,0.0132615470842763,-0.509070017787946,1,0.501403840663125,1.4,1.5014038406631252,Battery Wind
21.9042955804996,0.0132589003943306,-0.509146565389713,1,0.501561360904927,1.4,1.501561360904927,Battery Wind
21.9103129366104,0.0132495989022285,-0.509274986717103,1,0.500700464653624,1.4,1.500700464653624,Battery Wind
21.9163302927212,0.0132538523089436,-0.509495828782829,1,0.501419545491141,1.4,1.501419545491141,Battery Wind
21.922347648832,0.0132445677299582,-0.509547968347068,1,0.500781042122589,1.4,1.500781042122589,Battery Wind
21.9283650049428,0.0132415983570432,-0.509745681323519,1,0.500590883436146,1.4,1.5005908834361459,Battery Wind
21.9343823610536,0.0132390906252396,-0.510048240846963,1,0.500232077067411,1.4,1.5002320770674111,Battery Wind
21.9403997171644,0.0132353928968512,-0.510227860247094,1,0.500043196225837,1.4,1.5000431962258371,Battery Wind
21.9464170732752,0.013232217266348,-0.510501404985475,1,0.499696180483192,1.4,1.499696180483192,Battery Wind
21.952434429386,0.01322792797479,-0.510648634005047,1,0.499524362741845,1.4,1.499524362741845,Battery Wind
21.9584517854967,0.0132242230083339,-0.51088490485177,1,0.499205930124411,1.4,1.499205930124411,Battery Wind
21.9644691416075,0.0132194946202478,-0.510996350854962,1,0.49906646280536,1.4,1.49906646280536,Battery Wind
21.9704864977183,0.013215428899602,-0.51119721566294,1,0.498786250162674,1.4,1.498786250162674,Battery Wind
21.9765038538291,0.0132100043483746,-0.511371325823708,1,0.498399927853719,1.4,1.498399927853719,Battery Wind
21.9825212099399,0.0132061018319034,-0.511426963377177,1,0.498506806762753,1.4,1.498506806762753,Battery Wind
21.9885385660507,0.0132074713059356,-0.511634967600613,1,0.498958380841757,1.4,1.498958380841757,Battery Wind
21.9945559221615,0.0132245117444338,-0.512516315377787,1,0.499929455056509,1.4,1.499929455056509,Battery Wind
21.9999999999998,0.0132125650151574,-0.510672641992195,1,0.50377938113562,1.4,1.5037793811356202,Battery Wind
22.0,0.0132125650150655,-0.510672641988518,1,0.503779381132658,1.4,1.503779381132658,Battery Wind
22.0000000000002,0.0132125650135959,-0.510672641940175,1,0.503779381058165,1.4,1.503779381058165,Battery Wind
22.0000154637324,0.0131929653530237,-0.510801587098562,1,0.500806790709208,1.4,1.500806790709208,Battery Wind
22.0000463911969,0.0131903128208332,-0.511516401755617,1,0.498621823897671,1.4,1.498621823897671,Battery Wind
22.0000707773219,0.0131965157112207,-0.511514161167473,1,0.499466432839665,1.4,1.499466432839665,Battery Wind
22.0001512397525,0.0131907337804861,-0.511289597724753,1,0.499267790003968,1.4,1.499267790003968,Battery Wind
22.000231702183,0.0131954689748558,-0.51151428222429,1,0.499337800055878,1.4,1.4993378000558781,Battery Wind
22.0003477193283,0.0131913448297056,-0.511290778079101,1,0.499362854722775,1.4,1.4993628547227749,Battery Wind
22.0005540040766,0.0131947364177325,-0.511492310079671,1,0.499320615648209,1.4,1.499320615648209,Battery Wind
22.0008580046841,0.0131912082075235,-0.511279834998451,1,0.499411949209528,1.4,1.4994119492095281,Battery Wind
22.0013800129776,0.0131939143998731,-0.511457165403844,1,0.499361641455713,1.4,1.499361641455713,Battery Wind
22.0022777579029,0.0131902057574973,-0.511232865236731,1,0.499497710244239,1.4,1.499497710244239,Battery Wind
22.0038005093461,0.0131920809404811,-0.511370589701794,1,0.499490377209427,1.4,1.499490377209427,Battery Wind
22.0064517503722,0.0131875611973722,-0.511122247562679,1,0.499638047498926,1.4,1.499638047498926,Battery Wind
22.0109648286746,0.0131921175686882,-0.511296739584553,1,0.499909683567802,1.4,1.499909683567802,Battery Wind
22.0172841714087,0.0131884537786915,-0.511175563614254,1,0.499624073008388,1.4,1.499624073008388,Battery Wind
22.0236035141429,0.0131834652959441,-0.511210166211969,1,0.498435646161377,1.4,1.498435646161377,Battery Wind
